호선명,역명,4시승차,4시하차,5시승차,5시하차,6시승차,6시하차,7시승차,7시하차,8시승차,8시하차,9시승차,9시하차,10시승차,10시하차,11시승차,11시하차,12시승차,12시하차,13시승차,13시하차,14시승차,14시하차,15시승차,15시하차,16시승차,16시하차,17시승차,17시하차,18시승차,18시하차,19시승차,19시하차,20시승차,20시하차,21시승차,21시하차,22시승차,22시하차,23시승차,23시하차,0시승차,0시하차,1시승차,1시하차,2시승차,2시하차,3시승차,3시하차
2호선,도림천,1,0,422,436,1257,1090,3354,5045,3570,6722,2433,2282,1951,1626,1944,1345,2314,2002,1881,1352,2056,1769,2415,1692,2862,2010,3303,2288,4082,3083,2234,2827,1108,1716,986,1555,524,1361,290,1123,43,394,1,8,0,0,0,0
2호선,양천구청,25,0,5323,937,13132,2611,36875,6417,34324,11376,18734,6264,13230,5776,11784,6205,11833,7296,11204,8913,9582,9417,8461,11139,10036,13454,10778,18104,11091,30915,5232,28170,3595,16774,2969,16073,2796,15750,1116,12001,190,4327,1,64,0,1,0,0
2호선,신정네거리,20,0,9442,3630,15675,7644,49188,5564,45908,13699,25261,9634,18014,8524,15719,9652,16036,10412,14994,12284,13056,13408,12687,16536,14908,20507,18117,27068,15005,45427,9200,38617,6917,23205,5437,19884,4718,19657,2205,13281,378,4003,0,268,0,0,0,0
2호선,용두(동대문구청),31,0,1308,186,1725,1141,5519,2837,8422,7339,4365,4049,3604,3692,3985,4153,4655,3995,4606,4285,4520,4442,4850,4847,5157,4849,5684,4947,6773,7979,3291,6092,2497,3551,1929,3275,1491,2721,573,1961,88,555,0,12,0,0,0,0
3호선,지축,4,1,193,1036,1721,4092,5143,2388,5566,2187,3344,1547,2277,1468,1929,1514,2010,1554,1979,1567,1802,1788,1861,2283,2932,2959,4749,3224,2122,4606,1050,3962,659,2761,388,2284,166,1733,127,615,43,111,0,0,0,0,0,0
3호선,구파발,111,8,11265,1801,33987,11801,101508,25864,98155,32778,49315,30691,33971,28666,30916,27475,32427,28692,31862,30918,30969,30231,34111,32526,39649,36769,44072,44306,39512,77034,25784,72131,20931,40596,18595,38149,15705,35386,5160,24766,845,8665,2,348,1,1,0,0
3호선,연신내,287,38,30245,2329,59628,15595,160132,29705,194506,43678,105354,45127,70800,41327,65836,40918,70397,45445,67041,50977,60016,54099,61168,64660,69719,76512,68560,92919,62766,156308,45101,151156,36162,90249,32753,81784,28289,78665,15073,52527,2879,18535,0,15,0,1,0,0
3호선,불광,37,2,11276,1457,23435,7552,64788,12346,75860,38626,41021,35865,29659,27644,28063,28342,29240,30950,31381,36539,29828,35559,31360,35789,35323,41113,36571,47633,41705,72358,23078,64047,18550,37773,17392,32482,12225,30596,5263,19704,816,6525,0,1,2,0,0,0
3호선,녹번,30,3,9433,1614,23857,11722,65381,8330,78345,19471,40413,12185,25529,9813,22069,10393,21248,11884,20351,13473,18091,14129,17203,16796,20803,22163,22323,28011,22750,49024,11167,48122,8098,29531,6508,27524,5055,26579,2288,16931,365,4861,0,0,0,2,0,0
3호선,홍제,55,5,9770,1589,25595,9501,70877,13174,86349,29382,51588,21697,35241,19626,32058,19060,33513,22020,31797,24161,28832,25734,28396,31256,30053,36049,33008,43514,33029,67781,18889,60996,14476,37527,11970,34247,8532,32000,3744,20873,659,6199,0,1,0,0,0,0
