호선명,역명,4시승차,4시하차,5시승차,5시하차,6시승차,6시하차,7시승차,7시하차,8시승차,8시하차,9시승차,9시하차,10시승차,10시하차,11시승차,11시하차,12시승차,12시하차,13시승차,13시하차,14시승차,14시하차,15시승차,15시하차,16시승차,16시하차,17시승차,17시하차,18시승차,18시하차,19시승차,19시하차,20시승차,20시하차,21시승차,21시하차,22시승차,22시하차,23시승차,23시하차,0시승차,0시하차,1시승차,1시하차,2시승차,2시하차,3시승차,3시하차
1호선,서울역,981,22,8555,7335,11397,39370,33119,85745,69853,191863,55331,140009,63035,77841,83092,73029,91949,83884,93113,89529,80670,83365,107667,83790,109625,88426,141158,92343,205007,94611,125025,73172,87107,52153,87505,43678,66234,32215,31162,17359,4321,6181,364,421,0,5,0,0
1호선,시청,40,0,2142,3268,3110,16733,6558,54366,8534,163549,11848,68356,14589,38871,19467,36432,22117,34561,27264,39915,34558,35807,43956,29654,49338,24086,67101,23932,130326,23589,61236,13014,46584,8430,46362,7350,30702,5687,11847,3664,743,1141,3,20,0,1,0,0
1호선,종각,91,0,3657,4230,3764,22232,5787,81265,9678,233260,12738,131704,17814,68780,29085,65207,36843,63090,50815,66022,58292,57175,73337,49831,85787,49979,120164,54747,203256,68233,111309,44372,94025,17848,110158,11320,91859,7593,44516,5033,3822,1262,8,9,0,0,0,0
1호선,종로3가,111,19,4306,2118,3433,10512,5119,22888,8393,65325,12761,77225,21648,71164,35077,81616,47681,88132,61811,89551,70434,78486,80664,64322,90490,55137,92667,50634,109038,53263,80842,32049,59962,13464,64126,9652,53059,7473,23323,5183,2546,2244,35,90,0,0,0,0
1호선,종로5가,50,2,1596,2844,2663,12351,4409,32318,7405,104733,11442,63230,18636,53946,28045,61089,38885,62755,51471,59746,60908,56753,64785,49297,67145,43458,77924,38900,109392,35334,62401,21731,43052,9980,34780,6565,27346,4663,9572,2989,668,910,3,16,0,0,0,0
1호선,동대문,467,6,12039,1851,8680,5681,12851,10551,19452,24556,19369,24942,18299,26969,20850,33983,25305,37705,29725,36129,32265,34994,32732,32726,32531,29101,32090,28277,30660,28098,21614,27733,16749,19537,15664,15590,13557,14520,7429,11488,1041,3937,5,57,1,0,0,0
1호선,신설동,204,14,7713,1714,8352,6744,16631,19941,24552,60680,18912,34450,18226,22683,20213,21241,22361,21717,24803,22555,25176,21774,26804,21712,28843,20977,36189,25016,59654,26606,27064,22045,17358,14761,15299,14391,11214,13823,5426,9722,612,2530,5,36,0,0,0,0
1호선,제기동,284,5,3909,1775,6885,6884,18154,15207,27910,37984,20749,35744,22856,34384,29984,43649,38034,49932,43798,55537,47970,51703,52860,45570,52471,34176,46318,28709,45509,25643,24315,19597,15637,12378,11230,10819,7814,10546,3412,7274,278,1714,0,15,0,0,0,0
1호선,청량리(서울시립대입구),935,6,9271,2429,13805,9977,37174,16957,52946,35171,35909,34298,32008,35812,38396,46768,45154,55210,47442,63033,52386,61409,59623,57263,63522,48962,58584,50650,51895,55963,31981,45195,25241,28308,19261,24767,13665,25606,6387,17174,395,5343,10,70,0,0,0,0
1호선,동묘앞,89,7,2812,732,2841,2854,5242,7555,7741,18939,7820,15350,9249,19104,13486,29374,19479,37290,26384,42301,34577,42394,40514,35406,41503,23923,37567,16371,29252,10705,12080,7515,6375,5444,5616,5466,4349,5753,2061,4166,277,2832,4,229,0,11,0,0
2호선,시청,72,4,1050,1463,1982,13208,4788,54189,7430,196135,10852,74033,16723,26553,22283,24985,23184,24096,27311,27909,32589,25663,37043,23603,41527,20619,67584,20718,152707,21354,62398,13249,41810,7742,38316,7606,25973,6955,10951,4568,1482,1438,6,122,2,5,0,0
2호선,을지로입구,57,3,2468,2356,3080,20536,7247,100898,12926,285299,18975,135704,26470,76758,36634,85773,42369,68585,54637,69432,64104,62843,79050,61363,91301,59401,123305,60081,249333,65755,135266,42952,123099,24123,104964,19070,74760,16071,33444,9288,4035,2848,25,519,0,8,0,0
2호선,을지로3가,18,1,844,1748,2158,14153,5430,53861,9344,135857,11965,69605,16470,33485,19891,28515,20611,25726,25115,27916,28391,25959,33170,23645,38747,23537,57867,24441,116659,28013,58734,18743,39008,10038,39356,8135,31100,7472,15708,5063,2867,1609,5,92,0,0,0,0
2호선,을지로4가,2,0,763,691,1300,10594,2705,18390,5044,52957,8615,34374,10825,21945,12902,20842,15344,20126,17449,19610,21401,19647,24145,17625,26855,15510,36448,14350,53767,11972,30861,8342,15400,5082,11571,4557,8247,4611,3882,3030,751,936,3,43,0,1,0,0
2호선,동대문역사문화공원,259,4,8394,778,5079,6884,6532,17125,12635,51222,13464,36824,14857,33106,17009,31370,22882,33484,24949,37992,30419,36528,35817,33497,40531,30924,47757,31977,55762,35891,40511,40966,28950,28570,26725,21574,24998,16786,16735,11056,2695,4208,27,291,0,2,0,0
2호선,신당,27,1,5444,959,9397,7291,22789,13696,37736,33746,23969,23034,18213,18515,18673,19409,20840,20505,22676,22994,23419,23626,23939,23509,26433,25708,30136,29477,35007,38781,22745,31868,16407,19797,14586,18608,11052,18283,6199,12513,954,4222,20,203,0,0,0,0
2호선,상왕십리,33,2,5298,605,10483,4892,30884,9086,52379,32682,29513,18343,19876,13051,19489,11893,19761,13149,20114,15196,18267,16087,18092,17737,19446,20131,22686,26147,28216,40270,18597,32953,12240,21689,11298,20594,8441,20595,3591,13735,503,4804,9,157,0,0,0,0
2호선,왕십리(성동구청),474,4,6473,851,9599,5159,24789,9464,46874,25588,29655,20587,20378,15027,21504,16734,25818,18812,26685,21153,26086,21381,26759,22971,28991,25843,34659,34770,40662,55226,28067,42782,26294,25947,29796,21839,29000,21315,18796,15325,3105,6286,30,347,1,1,0,0
2호선,한양대,0,0,955,286,2049,4357,4821,7819,7915,27111,6161,30709,5563,19858,7811,13417,11202,14669,10840,17662,10945,14023,12596,10986,18455,9516,25485,9671,25024,11211,12207,8006,9583,5347,9589,4899,8388,4842,4881,3302,949,1182,13,51,0,0,0,0
2호선,뚝섬,16,0,3394,1610,7408,11249,18448,22996,28287,101713,18415,51420,14808,23420,15814,18199,18636,18576,21044,20719,22580,19800,22599,20743,26855,21589,36827,25141,84762,33558,41579,26252,23671,15458,21785,13701,15126,14365,6721,9582,1057,3664,21,194,1,1,0,0
2호선,성수,99,15,4718,3350,8945,22156,20854,52138,29457,220712,23566,83085,20509,35351,21992,28428,25234,28356,28918,30759,32540,30754,35733,31974,41321,32410,69185,35800,160558,42564,74826,33873,42045,19109,39183,17395,29555,15143,13370,11132,1829,6013,21,993,1,21,0,0
2호선,건대입구,216,8,16691,1709,21243,12969,48662,21683,88645,52798,59868,44375,38645,44484,38239,50566,46386,67219,52844,75354,54869,75992,59626,80179,66914,89964,79036,114890,93027,170474,75542,141454,76709,78412,91442,68231,97619,59965,63174,37520,10541,12844,117,1386,1,21,0,0
2호선,구의(광진구청),46,1,11384,1119,21343,8785,57176,12034,102133,35452,60999,23478,34126,19625,30333,19696,31690,22394,32765,25535,29868,27405,28662,33050,30345,36982,33636,47160,41993,74412,24171,65769,19193,43160,17826,43001,15127,41421,9119,24975,1439,7943,30,440,1,17,0,0
2호선,강변(동서울터미널),36,1,8370,3286,23826,27008,78988,30844,122724,52720,98862,55211,84110,51704,81775,52982,80697,59677,78268,68574,72047,73511,72223,87178,75002,91659,78542,102206,85019,133877,69042,113670,56856,78548,50720,67771,34042,61169,14343,34523,2854,8329,343,364,1,16,0,0
2호선,잠실나루,1,0,2513,1581,9877,8375,35968,18266,48830,34442,29991,26454,24195,20758,24975,17981,24922,21866,24417,22665,24927,21206,26271,21608,28033,20988,33003,25152,32063,37342,18747,33480,13922,20428,11151,19834,6972,20150,3067,12961,492,3922,8,247,0,9,0,0
2호선,잠실(송파구청),97,6,10436,4684,38120,31359,106098,73081,151230,176668,113820,183910,81862,119560,85866,127721,95187,124747,110976,131309,119418,125259,136970,135089,158079,142302,197015,153729,252660,209842,192465,163373,182040,95990,160825,91440,121493,86508,36946,53426,4295,13315,58,915,3,35,0,0
