호선명,역명,4시승차,4시하차,5시승차,5시하차,6시승차,6시하차,7시승차,7시하차,8시승차,8시하차,9시승차,9시하차,10시승차,10시하차,11시승차,11시하차,12시승차,12시하차,13시승차,13시하차,14시승차,14시하차,15시승차,15시하차,16시승차,16시하차,17시승차,17시하차,18시승차,18시하차,19시승차,19시하차,20시승차,20시하차,21시승차,21시하차,22시승차,22시하차,23시승차,23시하차,0시승차,0시하차,1시승차,1시하차,2시승차,2시하차,3시승차,3시하차
6호선,연신내,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,1,0,0,0,1,0,2,0,2,0,2,0,0,0,3,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0
1호선,서울역,703,16,9281,6264,11839,37761,34932,94370,59766,198642,41216,127641,37026,56161,44361,47213,52246,47273,54814,48852,47938,46575,63180,48737,69070,48978,123504,60656,198390,66255,94455,45525,61917,30222,61209,24837,41730,18841,15428,11666,35,1415,0,0,0,0,0,0
1호선,동묘앞,92,0,3482,899,3095,4339,5988,10628,7916,24390,7012,18511,8702,18248,13048,22747,17572,24593,23326,26494,25634,25661,28110,22228,27373,18462,28655,14280,24651,10412,12708,6951,6766,4401,5570,3920,3866,4092,1321,3264,1,1338,0,0,0,0,0,0
1호선,시청,14,1,1579,3474,2965,18399,5914,64790,7538,161212,8106,76689,9332,28872,13443,26994,13867,21269,17618,21595,21490,18048,28019,15190,32540,13479,64843,15219,129947,16630,48737,8008,37152,4330,37571,3715,25019,2670,8266,1699,5,83,0,0,0,0,0,0
1호선,종각,94,3,3286,4443,3385,26566,5367,106806,8424,249411,10634,135873,14447,54680,22238,45734,26993,39272,35691,41760,41104,34993,51633,30673,58818,31451,127045,36523,207821,46786,87619,25779,72988,10060,83784,6563,65597,4290,24210,2630,26,131,0,1,0,0,0,0
1호선,종로3가,197,27,4327,2780,3499,14092,4868,27232,8573,74116,11689,78078,20419,61203,30810,56711,38132,52404,45509,52169,46753,46205,51333,40260,55772,34190,67261,32167,99469,35897,59284,19783,43912,8453,48623,5829,40059,4258,14301,3609,29,699,1,1,2,2,0,0
1호선,종로5가,52,2,1935,4036,2674,16497,5086,41395,7527,109592,11391,64204,18275,49789,26254,45016,31928,42669,36844,39867,43377,37181,46322,33453,51717,27918,69285,25165,101595,23342,49553,13602,30809,6055,25803,4553,19853,3300,6429,2288,17,234,0,0,0,0,0,0
1호선,동대문,495,8,14049,2376,9668,7451,14530,13436,18672,25850,17388,23863,16523,22399,17443,23917,19909,22968,20907,22119,21185,21008,21647,20109,22973,18298,24393,19074,23839,19307,16071,21241,13456,14320,12670,11315,11104,10720,4592,10726,20,920,0,0,2,1,0,0
1호선,신설동,252,6,9370,2462,8823,8751,17577,25875,23934,68710,16919,39981,14458,21017,17410,17912,17891,17297,19372,18038,19381,16918,23443,17360,28207,18173,38635,21357,61218,26564,23939,18483,15097,11609,13648,10631,9959,9767,3493,7379,17,546,0,0,0,0,0,0
1호선,제기동,419,7,4701,2355,8346,9047,20972,19293,29749,42697,21926,38280,25315,36055,31912,37594,33188,32378,33787,33646,34906,35702,36422,33131,35450,27973,36425,23532,36996,25726,18432,17644,11640,10914,8846,9379,7071,8967,2633,5226,6,408,0,0,0,0,0,0
1호선,청량리(서울시립대입구),1341,46,11435,4667,15231,14359,40635,17469,48887,36225,32649,33426,30120,34931,34769,38113,35284,36647,36418,36301,37504,39341,39195,39365,42395,37517,43729,39640,41397,49784,24698,35079,19006,20526,12942,17961,9380,16862,3661,10306,35,1235,0,0,0,0,0,0
2호선,시청,15,0,1022,1523,1869,15023,4625,72586,6638,199505,7456,92544,11167,23290,16464,19720,16169,18096,20607,19828,23788,16620,27210,14993,32603,13063,77140,14924,164009,16091,55418,7822,35129,3816,33124,3453,22158,2751,6992,2416,9,128,0,0,0,2,0,0
2호선,을지로입구,103,0,2206,1904,2915,24766,7471,122049,11921,290597,13233,151211,15222,60850,22459,49660,26369,41138,36999,40517,42094,34942,52382,32409,62299,30354,138047,34645,244945,39016,100877,20537,91159,10977,63025,9299,42748,8162,12495,5728,6,3088,0,1,0,0,0,0
2호선,을지로3가,13,1,875,1655,1970,20178,4810,68073,8339,143790,8332,68836,9863,28286,12909,21436,13508,18700,17778,21473,21106,18474,25562,16434,32781,16747,71714,20135,126459,25647,51497,14419,33710,7186,35372,4871,31160,3645,13962,2482,10,314,0,1,0,1,0,0
2호선,을지로4가,11,0,926,988,1327,11782,2556,33170,4601,76683,6055,40897,8076,22917,11267,19493,13809,17812,15422,16449,18181,15977,20892,14027,24213,12133,48887,11048,70260,10568,33054,5846,16331,2690,12679,2369,9614,1938,3708,1475,5,163,0,1,0,0,0,0
2호선,동대문역사문화공원(DDP),245,4,7836,797,4539,7528,6215,25219,9042,53037,8177,31271,8426,23085,11579,23540,13421,20104,15376,20128,19563,19430,22070,17855,31372,16034,37166,17232,42999,21446,25770,24911,19581,14849,20562,10102,14196,7980,5974,7610,3,585,0,1,0,1,0,0
2호선,신당,30,0,6002,1239,11746,7182,27115,16820,42781,36060,25115,22355,16706,17129,15689,16698,17458,16204,18437,16974,18076,18174,18720,19270,21617,21875,25727,28776,33575,41661,21608,29934,15752,18109,13500,16511,10298,15251,4366,10706,3,131,0,0,0,0,0,0
2호선,상왕십리,55,2,5781,701,13127,5173,38545,12262,59150,34443,30220,18820,18050,11850,15931,10805,16485,11710,16822,13510,15187,13639,17008,15578,17556,18663,21357,27778,26750,47852,17153,33626,11402,20680,10257,19067,7470,17318,2507,12183,0,22,2,1,0,1,0,0
2호선,왕십리(성동구청),741,3,7189,794,10256,5628,26554,11781,44624,27478,25997,16599,17362,12234,17011,12970,18443,15001,19773,15949,19466,16703,22097,17961,26936,20349,31175,29641,35865,51991,23328,34316,21070,19959,23921,16588,24840,15776,13015,12510,73,309,3,3,0,0,0,0
2호선,한양대,5,0,1400,322,2666,6072,5243,13927,8586,37853,6395,30895,5393,19881,7584,12556,8862,16169,9384,14982,10894,13187,12815,9630,20033,8726,28606,9647,26230,11891,13848,6984,11802,4875,12027,4459,10091,4180,4605,3155,1,23,0,0,0,0,0,0
2호선,뚝섬,39,1,4001,1828,8557,15707,20506,30817,28345,123155,16476,71116,12582,27916,12588,20819,15037,21627,17712,23657,19881,21707,23249,22794,30429,24868,48028,28837,108179,39690,52740,26051,31210,14131,27707,12366,21512,10759,6640,7895,3,98,0,1,0,0,0,0
2호선,성수,34,0,5701,3653,9815,28861,24405,65713,31428,253984,23503,110507,18606,39836,19505,30909,21593,31778,26803,36484,29583,33477,34353,34652,46419,34753,90177,38723,202130,51144,81980,33590,47259,18045,45518,14540,34912,13586,10261,12357,7,4621,0,0,0,0,0,0
2호선,건대입구,319,20,17435,2310,21665,19136,54388,25818,90285,60406,58433,42797,32308,34969,29909,36849,34227,43927,36827,51249,37905,50852,42782,55356,49690,62742,62801,86262,78493,140968,55643,104205,57297,59788,63134,52716,65944,47060,31762,29381,26,4245,0,2,0,0,0,0
2호선,구의(광진구청),23,2,13422,1413,26337,9170,68579,14803,110859,38086,63614,23856,31289,18309,26090,17784,26923,19867,27461,22799,24661,24351,23613,29627,27027,35675,32236,49990,40568,88647,22819,68127,17829,43068,17081,38761,15738,38124,6696,20961,12,1786,0,0,0,0,0,0
2호선,강변(동서울터미널),22,0,9059,2729,27967,21407,79807,25458,114254,44655,78527,38270,53347,36340,47846,34662,45289,37810,46480,43604,43105,46654,43361,52493,46373,59264,51857,74194,61502,118164,48057,82905,35959,53308,30283,43058,21737,42853,7377,23984,7,660,0,0,0,0,0,0
2호선,잠실나루,4,0,2843,1641,12087,10957,39648,22626,45677,36954,26834,25342,19651,16793,18930,14496,18096,16852,17520,17645,18711,15740,19853,15657,25109,16642,30629,22079,30783,39022,15928,29802,11703,17079,8530,15755,6209,15161,2339,9933,3,62,0,0,0,0,0,0
2호선,잠실(송파구청),70,5,11533,5494,47215,33679,111690,75873,159480,160401,114681,126058,69743,72224,65387,69977,69965,72374,77867,77385,77222,78824,84961,82022,98115,95522,142260,128081,192350,204771,119002,142906,107292,83722,83407,75902,70713,73469,22988,43985,12,794,0,2,0,0,0,0
2호선,잠실새내,16,0,5130,818,16784,8206,56359,15835,70283,25320,40519,27841,24404,21381,23251,21529,24419,23303,25637,27056,23981,27781,25549,29598,29524,35204,31290,48327,36755,81692,27607,58992,23587,32416,24322,26872,23326,26033,10903,14108,8,1754,1,1,0,0,0,0
2호선,종합운동장,8,1,1781,1093,5989,6782,17404,13245,22520,20557,15982,10953,9469,6589,7821,6098,8331,7086,9499,8299,7997,8067,9206,9075,12140,10419,13258,14974,16097,23261,8985,16950,5702,10147,5824,9645,4850,10094,1697,6075,5,628,4,4,0,0,0,0
2호선,삼성(무역센터),140,1,5159,4999,7414,44194,16078,134380,20679,329456,19296,246536,20534,93159,28750,63870,36288,57521,45637,63603,57383,55370,72093,47836,90339,45687,174749,47680,297965,57914,168750,33565,110564,16363,88828,13010,65044,10512,14440,7902,3,4063,0,0,0,0,0,0
2호선,선릉,120,0,4920,6473,10591,40413,20905,116791,29755,290819,28998,218634,30854,92202,40761,58492,47033,49397,57678,57465,65938,50739,82397,44462,116221,43496,173821,47810,296554,55635,146653,35842,88699,20244,85531,16413,71540,15076,22014,9614,12,310,0,0,0,0,0,0
2호선,역삼,43,3,4061,7914,8311,42987,14236,123432,24187,327176,22122,271291,20920,98557,28692,59529,34265,49375,42501,56954,50806,49461,66186,43796,86373,38366,179984,43474,276165,53407,137193,34699,75671,20214,74887,15012,54932,12464,17490,8768,5,68,0,0,0,0,0,0
2호선,강남,140,5,10062,12442,18970,54694,38695,157823,60345,332553,47662,332098,44302,148127,62109,110309,78324,103061,99500,125863,105289,108640,128249,100565,147858,99144,227132,125975,359795,181940,216982,120228,163462,54055,188304,40832,188154,32913,61848,23040,25,119,0,0,0,0,0,0
2호선,교대(법원.검찰청),31,0,2592,7617,12462,27466,25901,58891,35310,150764,26925,139348,24770,67400,30206,52541,33280,48314,40820,55590,48315,51044,55137,47171,59022,45595,92663,54615,149844,72744,69410,46086,51284,24276,57303,20186,52626,18231,17650,11998,4,122,2,2,0,0,0,0
2호선,서초,24,0,1287,5264,7339,21389,14525,50593,23075,122348,24434,92693,17990,39509,23207,27941,21759,22005,27928,27916,30225,27406,36256,21558,41669,20766,67524,21411,105378,24213,47626,16116,28338,9666,29084,8315,21121,7760,5720,4362,2,1,0,1,1,2,0,0
2호선,방배,12,0,2913,3646,9580,13633,23576,28922,32066,73323,24876,44092,16865,21434,16420,17591,17923,17995,20351,20385,20908,20207,23956,20526,28989,21522,41937,29103,69669,38597,29208,27980,20965,17260,20586,15727,17640,16567,5801,9349,1,2,0,0,0,1,0,0
2호선,사당,202,8,13307,3680,25514,29158,74371,42290,99606,63627,69966,48803,40993,37137,36471,40225,41500,40499,43815,43625,43974,44176,45488,52823,50463,69092,64930,99159,90975,153545,60465,114288,52011,64687,58951,58052,59057,57245,28302,37785,19,3113,2,1,0,1,0,0
