단어,빈도수
의식,10
구로,10
정치,10
무재,10
철학,10
한국,10
하라,10
밸런스,10
의상,10
얼마,10
결과,9
고하,9
리기,9
의외,9
취소,9
흐름,9
타고,9
심지어,9
아마,9
클레멘타인,9
나기,9
손발,9
패티,9
총알,9
대가,9
박진,9
잡고,9
의심,9
사이,9
세계관,9
가족영화,9
존잼,9
단점,9
애매,9
세계,9
리그,9
상당,9
그대로,9
역량,9
다행,9
지지,9
티비,9
개재,9
휴먼,9
브루스,9
당하,9
현실,9
여운,9
에나,9
지구,9
충격,9
상적,9
팝콘,9
불면증,9
리하,9
맨오브스틸,9
어린시절,9
어른,9
잘못,9
사회,9
무하,9
서인,9
걱정,9
엄마,9
봉하,9
게다가,9
가득,9
고요,9
친구,9
작가,8
유아,8
기준,8
겨우,8
사태,8
반성,8
여신,8
불편,8
왜케,8
번개,8
아역,8
강력,8
당신,8
그녀,8
수퍼맨,8
라인,8
전개도,8
노답,8
드림,8
부자연,8
라다,8
한계,8
사운드,8
대상,8
었으,8
화면,8
최근,8
거르,8
주기,8
후기,8
한국영,8
자동차,8
소녀,8
적임,8
더욱,8
따름,8
도덕,8
잠깐,8
더라도,8
개인,8
대신,8
영하,8
구리,8
도입,8
심각,8
워너,8
하품,8
로만,8
도안,8
안해,8
평생,8
방법,8
날개,8
분동,8
자고,8
도로,8
리얼,8
애인,8
내시,8
이름,8
스크린,8
탄탄,8
대결,8
보석,8
러브스토리,8
요술,8
들보,8
지다,8
내년,8
미드,7
악의,7
한시,7
실화,7
대의,7
성장기,7
민망,7
말빨,7
날때,7
그래픽,7
독수리,7
학적,7
등등,7
악평,7
신선,7
초등학생,7
근래,7
쓸모,7
돌이,7
요정,7
테러,7
과거,7
고도,7
자연,7
주의,7
마셈,7
평이,7
캐스팅,7
성공,7
메인,7
지게,7
피해,7
어보,7
강조,7
혹시,7
설마,7
통해,7
장하,7
포함,7
아지,7
개도,7
전세계,7
게임,7
만듬,7
무시,7
긴장,7
미래,7
한숨,7
몇몇,7
이상은,7
브루,7
구원,7
어마,7
막장,7
기만,7
고양이,7
파워레인저,7
해결,7
장난,7
세기,7
점주,7
숙면,7
탄생,7
마냥,7
아마존,7
카리스마,7
보라,7
직하,7
연속,7
괴물,7
반전,7
어벤져스,7
화끈,7
보신,7
투명,7
성적,7
감탄,7
기본,7
고생,7
정신,7
예상,7
상상,7
아저씨,7
양심,7
커플,7
이웃,7
보람,7
코미디,7
누님,7
그때,7
전쟁,7
대치,6
탄하,6
샤잠,6
캡틴마블,6
흥미진진,6
번은,6
현재,6
갈등,6
요약,6
요하,6
부로,6
도적,6
향수,6
이도,6
상태,6
여야,6
감명,6
존나,6
올가미,6
지면,6
납득,6
소녀시대,6
더라면,6
나라,6
이용,6
이별,6
최선,6
디즈니,6
와중,6
데리,6
바닥,6
수면제,6
유일,6
어거지,6
굿굿,6
신의,6
구림,6
당황,6
기전,6
활약,6
간이,6
호불호,6
듭니,6
예술,6
혼란,6
디워,6
깊이,6
두운,6
대화,6
배경음악,6
아내,6
유명,6
역활,6
대부분,6
사라,6
대중,6
응원,6
황금박쥐,6
졸림,6
복고,6
실패,6
노래,6
따위,6
스올,6
인형,6
스트레스,6
박수,6
제외,6
과연,6
야만,6
추가,6
애니메이션,6
로맨틱,6
보이지,6
유일하,6
반개,6
행동,6
조차,6
재앙,6
워낙,6
스토리텔링,6
사용,6
헐리웃,6
아예,6
다그,6
이집트,6
서커스,6
삼류,6
바란,6
우리나라,6
정작,6
수퍼,6
파괴,6
증명,6
애기,6
티켓,6
은영,6
선물,6
부시,6
어찌,6
서로,6
수록,6
제로,6
마법,6
활용,6
었습니,6
외치,6
타인,6
다한,6
본인,6
그라드,6
인의,6
작정,6
신기,6
중하,6
열심,6
부족함,6
답답,6
구도,6
시퀀스,6
접함,6
구해,6
산만,6
고통,6
보임,6
이전,6
호강,6
여자친구,6
방역,6
최종,6
수어,5
사이드,5
보통,5
깝습니,5
내면,5
몇번,5
기고,5
레전드,5
연결,5
세련,5
코스,5
치면,5
거짓말,5
나치,5
그린랜턴,5
배대슈,5
러브,5
허무맹랑,5
앞뒤,5
감기,5
완젼,5
입장,5
비판,5
갈리,5
명대사,5
감흥,5
정확,5
때매,5
어처구니,5
그다지,5
젠킨스,5
감고,5
주네,5
인지도,5
만도,5
기적,5
특수,5
치가,5
마사,5
이란,5
내기,5
커서,5
적절,5
만드,5
한지,5
진창,5
유튜브,5
상하,5
꿀잠,5
빌어,5
애가,5
쉴드,5
무리,5
대고,5
하나요,5
최강,5
자아,5
결코,5
끼리,5
졸리,5
장점,5
이자,5
싸구려,5
중국영화,5
로써,5
라울,5
티나,5
레알,5
강도,5
화장실,5
아가리,5
기승,5
불구,5
실제,5
댕기,5
영화감독,5
스펙,5
이보,5
다라,5
도아,5
ㅤㅇㅙㄹ케,5
마이너스,5
페미니즘,5
할리우드,5
레인,5
백악관,5
박살,5
신분,5
용기,5
방해,5
사막,5
몰입도,5
다큐,5
길이,5
곳곳,5
평타,5
나오니,5
석유,5
일본,5
만들기,5
무난,5
본적,5
이브,5
박아,5
고뇌,5
폭망,5
코드,5
트래버,5
골든,5
고전,5
을지,5
일부,5
방식,5
지라,5
위기,5
희망이,5
짱개,5
지네,5
베스트,5
