,단어,빈도수
433,예방,1
434,성범죄,1
435,근절,1
436,학대,1
437,아동,1
438,제기,1
439,요구,1
440,보완,1
441,지구,1
442,해결,1
443,자연,1
444,협약,1
445,원년,1
446,구조,1
447,에너지,1
448,구체,1
449,수소,1
450,생태계,1
451,선점해,1
452,서울,1
453,정상,1
454,회의,1
455,결집,1
456,상상력,1
457,블랙,1
458,핑크,1
459,영화,1
460,기생충,1
461,매료,1
462,행복,1
463,창작,1
464,활동,1
465,한류,1
466,디지털화,1
467,촉진,1
468,강국,1
469,기량,1
470,지도자,1
471,손흥민,1
472,류현진,1
473,김광현,1
474,진영,1
475,메달,1
476,전문,1
477,인권,1
478,보장,1
479,간섭,1
480,거리,1
481,두기,1
482,강요,1
483,역설,1
484,하나로,1
485,중견국,1
486,선진국,1
487,개도국,1
488,이해,1
489,가교,1
490,인도네시아,1
491,필리핀,1
492,캄보디아,1
493,우즈베키스탄,1
494,남방,1
495,북방,1
496,교류,1
497,중국,1
498,러시아,1
499,중인,1
500,브라질,1
501,아르헨티나,1
502,메르코수르,1
503,멕시코,1
504,태평양,1
505,협상,1
506,검토,1
507,한일,1
508,관계,1
509,지향,1
510,검증,1
511,시민,1
512,의식,1
513,기술,1
514,책임,1
515,유엔,1
516,도움,1
517,증명,1
518,핵무기,1
519,민족,1
520,후손,1
521,미국,1
522,바이든,1
523,행정부,1
524,출범,1
525,한미,1
526,한편,1
527,북미,1
528,자각,1
529,타고,1
530,물꼬,1
531,동북아,1
532,아세안,1
533,포괄,1
534,직결,1
535,통일,1
536,걸음,1
537,프로세스,1
538,동력,1
539,언제,1
540,어디,1
541,서든,1
542,대면,1
543,방식,1
544,합의,1
545,상호,1
546,안전보장,1
547,공동,1
548,원칙,1
549,가운데,1
550,지지,1
551,동아시아,1
552,중심,1
553,안보,1
554,공동체,1
555,활짝,1
556,아주,1
557,구입,1
558,주목,1
559,배려,1
560,표시,1
561,운송,1
562,환경,1
563,미화,1
564,콜센터,1
565,노고,1
566,주변,1
567,하나,1
568,순간,1
569,마찬가지,1
570,제대로,1
571,처우,1
572,새삼,1
573,정말,1
574,행동,1
575,목표,1
576,거기,1
577,디스,1
578,카운트,1
579,프리미엄,1
580,발견,1
