Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
기간,자치구,세대,인구,인구,인구,인구,인구,인구,인구,인구,인구,인구밀도,인구밀도,세대당인구,65세이상고령자
기간,자치구,세대,합계,합계,합계,한국인,한국인,한국인,등록외국인,등록외국인,등록외국인,인구밀도,인구밀도,세대당인구,65세이상고령자
기간,자치구,세대,계,남자,여자,계,남자,여자,계,남자,여자,인구밀도(명/㎢),면적(㎢),세대당인구,65세이상고령자
2010,합계,4224181,10575447,5236742,5338705,10312545,5111259,5201286,262902,125483,137419,17473,605.25,2.44,1007572
2010,종로구,77621,179362,89252,90110,170578,85182,85396,8784,4070,4714,7502,23.91,2.2,22458
2010,중구,61468,141200,70908,70292,132822,66879,65943,8378,4029,4349,14177,9.96,2.16,17504
2010,용산구,113204,257143,125832,131311,244853,119482,125371,12290,6350,5940,11759,21.87,2.16,30996
2010,성동구,129644,316892,158771,158121,309093,155067,154026,7799,3704,4095,18808,16.85,2.38,32094
2010,광진구,159675,388775,192053,196722,375463,186024,189439,13312,6029,7283,22786,17.06,2.35,32241
2010,동대문구,158485,379343,190317,189026,366786,184874,181912,12557,5443,7114,26713,14.2,2.31,42669
2010,중랑구,176096,432302,216255,216047,427455,214383,213072,4847,1872,2975,23373,18.5,2.43,41887
2010,성북구,201489,497692,245659,252033,488932,241927,247005,8760,3732,5028,20260,24.57,2.43,53243
2010,강북구,142711,350007,173373,176634,346520,172109,174411,3487,1264,2223,14824,23.61,2.43,41702
2010,도봉구,140603,370734,183283,187451,368298,182407,185891,2436,876,1560,17908,20.7,2.62,38214
2010,노원구,228022,615425,301141,314284,611230,299384,311846,4195,1757,2438,17367,35.44,2.68,57049
2010,은평구,196390,492925,242564,250361,488109,240536,247573,4816,2028,2788,16601,29.69,2.49,53779
2010,서대문구,138473,333871,162823,171048,324541,158857,165684,9330,3966,5364,18968,17.6,2.34,39497
2010,마포구,170531,400464,195145,205319,391865,191034,200831,8599,4111,4488,16776,23.87,2.3,41457
2010,양천구,183718,505223,251368,253855,500001,249024,250977,5222,2344,2878,29020,17.41,2.72,39067
2010,강서구,225313,580506,286324,294182,574127,283248,290879,6379,3076,3303,14015,41.42,2.55,50349
2010,구로구,170317,452667,229189,223478,423736,214032,209704,28931,15157,13774,22499,20.12,2.49,39389
2010,금천구,103412,264544,135717,128827,245195,125528,119667,19349,10189,9160,20350,13,2.37,23995
2010,영등포구,171791,445648,225127,220521,406833,205106,201727,38815,20021,18794,18141,24.57,2.37,42764
2010,동작구,167887,413814,203608,210206,402709,198587,204122,11105,5021,6084,25312,16.35,2.4,42539
2010,관악구,247588,549736,278445,271291,531434,269783,261651,18302,8662,9640,18592,29.57,2.15,50663
2010,서초구,170882,440021,213200,226821,434720,210652,224068,5301,2548,2753,9361,47,2.54,37131
2010,강남구,234345,577070,277932,299138,570095,274303,295792,6975,3629,3346,14596,39.54,2.43,44229
2010,송파구,264364,693144,339868,353276,685279,336359,348920,7865,3509,4356,20460,33.88,2.59,53156
2010,강동구,190152,496939,248588,248351,491871,246492,245379,5068,2096,2972,20217,24.58,2.59,39500
2011,합계,4192752,10528774,5208492,5320282,10249679,5073899,5175780,279095,134593,144502,17397,605.21,2.44,1049425
2011,종로구,76688,177419,88107,89312,168382,83931,84451,9037,4176,4861,7421,23.91,2.2,22939
2011,중구,61475,141567,71137,70430,133193,67065,66128,8374,4072,4302,14212,9.96,2.17,18099
2011,용산구,112617,259288,126735,132553,246501,120183,126318,12787,6552,6235,11857,21.87,2.19,31837
2011,성동구,126148,308767,154511,154256,300711,150655,150056,8056,3856,4200,18325,16.85,2.38,32767
2011,광진구,158472,386673,190867,195806,371936,184103,187833,14737,6764,7973,22661,17.06,2.35,33613
2011,동대문구,157823,378534,189538,188996,365486,183925,181561,13048,5613,7435,26653,14.2,2.32,44368
2011,중랑구,175115,428672,214258,214414,423706,212291,211415,4966,1967,2999,23175,18.5,2.42,43745
2011,성북구,199398,494422,243639,250783,485171,239726,245445,9251,3913,5338,20125,24.57,2.43,55213
2011,강북구,142527,348740,172309,176431,345054,170906,174148,3686,1403,2283,14780,23.6,2.42,43507
2011,도봉구,139348,367949,181911,186038,365573,181004,184569,2376,907,1469,17774,20.7,2.62,39810
2011,노원구,225104,608062,297308,310754,603930,295551,308379,4132,1757,2375,17160,35.44,2.68,58642
2011,은평구,197582,498350,244730,253620,493634,242779,250855,4716,1951,2765,16782,29.69,2.5,56595
2011,서대문구,134730,324529,158160,166369,314852,154033,160819,9677,4127,5550,18434,17.6,2.34,40041
2011,마포구,168640,398627,193539,205088,389493,189243,200250,9134,4296,4838,16720,23.84,2.31,42610
2011,양천구,182677,505605,251346,254259,500210,248927,251283,5395,2419,2976,29049,17.41,2.74,41110
2011,강서구,223490,575846,283662,292184,569072,280274,288798,6774,3388,3386,13901,41.43,2.55,52314
2011,구로구,171064,458908,232056,226852,427468,215474,211994,31440,16582,14858,22806,20.12,2.5,41992
2011,금천구,103600,264256,135604,128652,243438,124665,118773,20818,10939,9879,20326,13,2.35,25089
2011,영등포구,168850,439555,221913,217642,397443,199987,197456,42112,21926,20186,17892,24.57,2.35,43891
2011,동작구,167099,413658,203341,210317,401408,197672,203736,12250,5669,6581,25296,16.35,2.4,44287
2011,관악구,246979,546350,276675,269675,526397,267145,259252,19953,9530,10423,18478,29.57,2.13,53022
2011,서초구,168988,439012,212636,226376,433564,209902,223662,5448,2734,2714,9340,47,2.57,39035
2011,강남구,231983,573003,275906,297097,565710,271991,293719,7293,3915,3378,14501,39.51,2.44,47187
2011,송파구,261963,690466,338344,352122,682209,334494,347715,8257,3850,4407,20382,33.88,2.6,55456
2011,강동구,190392,500516,250260,250256,495138,247973,247165,5378,2287,3091,20359,24.59,2.6,42256
2012,합계,4177970,10442426,5159665,5282761,10195318,5041336,5153982,247108,118329,128779,17255,605.18,2.44,1110995
2012,종로구,75659,173148,85997,87151,165207,82274,82933,7941,3723,4218,7243,23.91,2.18,23868
2012,중구,61546,140807,70762,70045,133360,67043,66317,7447,3719,3728,14136,9.96,2.17,18875
2012,용산구,110706,255294,124708,130586,243232,118461,124771,12062,6247,5815,11674,21.87,2.2,33027
2012,성동구,125848,306868,153272,153596,299604,149832,149772,7264,3440,3824,18214,16.85,2.38,34180
2012,광진구,158534,384269,189367,194902,371313,183528,187785,12956,5839,7117,22520,17.06,2.34,35759
2012,동대문구,157650,375683,187851,187832,363258,182661,180597,12425,5190,7235,26453,14.2,2.3,46795
2012,중랑구,174313,423655,211708,211947,419295,210043,209252,4360,1665,2695,22904,18.5,2.41,46476
2012,성북구,197992,490639,241162,249477,481857,237474,244383,8782,3688,5094,19968,24.57,2.43,58142
2012,강북구,142150,346493,171099,175394,343157,169866,173291,3336,1233,2103,14684,23.6,2.41,46222
2012,도봉구,138036,364454,180023,184431,362270,179194,183076,2184,829,1355,17605,20.7,2.62,42267
2012,노원구,222959,600829,293616,307213,597189,292081,305108,3640,1535,2105,16955,35.44,2.68,61218
2012,은평구,200502,505902,248150,257752,501480,246318,255162,4422,1832,2590,17035,29.7,2.5,60776
2012,서대문구,135104,324733,157969,166764,315113,154017,161096,9620,3952,5668,18444,17.61,2.33,42088
2012,마포구,166722,393576,190514,203062,384644,186452,198192,8932,4062,4870,16511,23.84,2.31,44283
2012,양천구,181135,500533,248683,251850,495911,246637,249274,4622,2046,2576,28769,17.4,2.74,43514
2012,강서구,223708,573794,282185,291609,567431,278969,288462,6363,3216,3147,13851,41.43,2.54,55821
2012,구로구,171498,454478,229130,225348,427520,214982,212538,26958,14148,12810,22589,20.12,2.49,45252
2012,금천구,104357,260734,133834,126900,243288,124675,118613,17446,9159,8287,20055,13,2.33,26848
2012,영등포구,167685,426876,215084,211792,391408,196765,194643,35468,18319,17149,17386,24.55,2.33,46237
2012,동작구,169293,416268,204479,211789,405491,199454,206037,10777,5025,5752,25456,16.35,2.4,47185
2012,관악구,247598,540520,273640,266880,523029,265281,257748,17491,8359,9132,18280,29.57,2.11,56620
2012,서초구,168878,439998,213011,226987,435044,210440,224604,4954,2571,2383,9361,47,2.58,41763
2012,강남구,230755,569997,274124,295873,564197,270970,293227,5800,3154,2646,14431,39.5,2.45,50348
2012,송파구,257852,680150,333060,347090,673115,329747,343368,7035,3313,3722,20078,33.88,2.61,58490
2012,강동구,187490,492728,246237,246491,487905,244172,243733,4823,2065,2758,20042,24.59,2.6,44941
2013,합계,4182351,10388055,5126351,5261704,10143645,5007869,5135776,244410,118482,125928,17165,605.2,2.43,1167177
2013,종로구,73693,167867,83211,84656,160070,79519,80551,7797,3692,4105,7022,23.91,2.17,23997
2013,중구,60600,137990,69128,68862,130465,65371,65094,7525,3757,3768,13854,9.96,2.15,19346
2013,용산구,109361,251925,122974,128951,239740,116491,123249,12185,6483,5702,11520,21.87,2.19,34017
2013,성동구,126447,306571,152809,153762,299337,149304,150033,7234,3505,3729,18190,16.85,2.37,35421
2013,광진구,159173,381439,187584,193855,368927,181864,187063,12512,5720,6792,22356,17.06,2.32,37623
2013,동대문구,159256,376445,188167,188278,364273,182987,181286,12172,5180,6992,26490,14.21,2.29,49097
