제목,평점,리뷰 수,저자,출판사,가격
파이썬으로 만드는 인공지능,0.0,0,오일석,한빛아카데미(교재),31000
파이썬을 활용한 소프트웨어 아키텍처,0.0,0,아난드 발라찬드라 필라이,에이콘출판,40000
파이썬으로 배우는 게임 개발: 실전편,0.0,0,히로세 츠요시,제이펍,30000
파이썬과 케라스로 배우는 강화학습(개정판)(위키북스 데이터 사이언스 시리즈 54),0.0,0,이웅원,위키북스,28000
누구나 파이썬 통계분석,0.0,0,타니아이 히로키,한빛아카데미,26000
생활코딩! 파이썬,0.0,0,이고잉,범,18000
슬기로운 파이썬생활 데이터 싹쓰리 & 업무자동화,0.0,0,서진수,가치랩스,33000
파이썬을 활용한 지리공간 분석 마스터하기,0.0,0,폴 크릭커드.에릭 반 리스.사일러스 톰스 지음,에이콘출판,40000
바이오파이썬으로 만나는 생물정보학,0.0,0,한주현,비제이퍼블릭,26000
파이썬으로 배우는 컴퓨팅 사고,0.0,0,김완섭,인피니티북스,17000
퀀트 전략 파이썬으로 세워라,0.0,0,박준규,비제이퍼블릭,24000
파이썬으로 만드는 OpenCV 프로젝트,0.0,0,이세우,인사이트,36000
파이썬으로 배우는 자연어 처리 인 액션(제이펍의 인공지능 시리즈 25),0.0,0,홉슨 레인,제이펍,35000
C#과 파이썬을 활용한 OpenCV 4 프로그래밍,0.0,0,윤대희,위키북스,35000
파이썬 입문,0.0,0,야마다 요시히로,시그마프레스,25000
유튜버 주간컴공 지마&참깨의 프리패스 파이썬,0.0,0,지마,고시고시(더배움),18000
창의적 문제 해결을 위한 파이썬 프로그래밍,0.0,0,김진일,연두에디션,23000
파이썬을 이용한 수치해석,0.0,0,류권규,씨아이알,35000
코드업과 함께 하는 파이썬 & 문제 해결,0.0,0,배준호,삼양미디어,16000
파이썬으로 쉽게 풀어쓴 자료구조,0.0,0,최영규,생능출판,27000
모두의 라즈베리파이 with 파이썬,0.0,0,이시이 모루나,길벗,23400
어서와 파이썬은 처음이지!,0.0,0,천인국,인피니티북스,27550
파이썬,0.0,0,한선관,생능출판,29000
나혼자 파이썬,0.0,0,이창현,디지털북스,15000
파이썬으로 배우는 응용 텍스트 분석,0.0,0,벤자민 벵포트,제이펍,24300
